word,pronunciation,meaning
lichen,/ˈlaɪkən/,"명 (yellow moss) 지의류 (地衣類), 노란색 이끼 "
moss,/mɒs/,"명 (plant, bryophyte) 이끼 "
aggravate,/ˈæɡrəˌveɪt/,"동(타) (make worse) 악화시키다 
동(타) controversial (irritate, annoy) 괴롭히다, 화나게 하다 "
alleviate,/əˈliːvɪˌeɪt/,"동(타) (pain, suffering) (고통을) 완화시키다, 경감하다 
동(타) (relieve) (긴장 따위를) 풀다, 편하게 하다 "
appease,/əˈpiːz/,"동(타) (to avoid conflict) (분쟁을 피하기 위해) 진정시키다, 가라않히다 
동(타) (to calm [sb]) 달래다, 진정시키다 "
cripple,/ˈkrɪpəl/,"동(타) offensive (person: physically) (모욕적) 불구자로 만들다, 병신으로 만들다 
동(타) (machine, process) 해치다, 손상시키다 
동(타) (plan, efforts) 무력하게 하다, 무능하게 하다, 못쓰게 하다 
명 dated, pejorative (lame or handicapped person) 불구자, 장애자, 앉은뱅이, 절름발이 "
leeside,,
frost,/frɒst/,"명 (ice) 서리 
동(타) (cake: put frosting) (케익에) 프로스팅 (버터나 쇼트닝이 들어가 촉촉하며 부드러운 크림과 같은 질감을 내는 것)을 입히다 
동(자) (have a frost) 서리가 내리다 "
drift,/drɪft/,"동(자) (float on water) (수면) 표류하다, 흘러가다, 밀려가다 
동(자) (float on air) (육지) 떠돌다, 떠다니다 
동(자) figurative (wander aimlessly) (은유적) 헤매다, 방황하다, 방랑하다 
명 (heap of snow, sand) (바람에 날려 쌓인) 퇴적물, 표류물 
명 (degree or measure) 충동, 자극, 정도, 압력 
명 (insinuation) 암시, 넌지시 하는 말 
동(자) figurative (move: towards an idea, etc.) (생각) 믿는 쪽으로 기울다 
동(자) (number: up or down) (숫자:위아래로) 변동하다, 변하다 "
stifle,/ˈstaɪfəl/,"동(타) (ideas, freedom: suppress) (자유 등) 억누르다, 억제하다 
동(타) (heat, humidity: suffocate) 숨막히게 하다, 질식시키다 
동 (yawn, emotion: hold back) (하품, 감정 등) 꾹 참다, 억누르다 
동(타)  끄다 "
permafrost,/ˈpɜːməˌfrɒst/,"명 (permanently frozen ground) (북극) 영구 동토층 "
bog,/bɒɡ/,"명 (swamp) 습지, 늪, 수렁 "
conspicuous,/kənˈspɪkjʊəs/,"형 (action: obvious) (행위가) 두드러진, 현저한 
형 (obvious: [sb]) (사람이) 눈에띄는, 이목을 끄는 "
intimate,/ˈɪntɪmɪt/,"형 (personal, private) 사적인, 은밀한 
형 (sexually close) 성적인 관계가 있는 
형 (genital) 신체적으로 가까운 
형 (knowledge: personal) 잘 알고 있는, 정통한 
형 (friend: close) 친한, 친밀한 
형 (clothing) (옷) 몸에 닿게 걸치는 
명 (confidant) (매우 친한) 친구 
동(타) (suggest, infer) 암시하다, 넌지시 말하다 "
intimidate,/ɪnˈtɪmɪˌdeɪt/,"동(타) (bully, coerce) 못살게 굴다, 위협하다 
동(타) (daunt, make fearful) 겁주다, 협박하다 
동(타) (frighten into submission) 위협하여 ~하게 하다 (못하게 하다) "
moth,/mɒθ/,"명 (winged insect) 나방 "
feasibility,/ˌfiːzəˈbɪlɪtɪ/,"명 (possibility of doing) 실행 가능성 "
harsh,/hɑːʃ/,"형 (manner: mean) (태도) 가혹한, 엄격한, 엄한 
  심한 
형 (climate) (기후) 혹독한, 매서운 "
congregate,/ˈkɒŋɡrɪˌɡeɪt/,"동(자) (people: gather together) (사람) 모이다, 집합하다 "
segregate,/ˈsɛɡrɪˌɡeɪt/,"동(타) (separate) 분리시키다 
동(타)  차별하다 
동(타) (isolate) 고립시키다 "
expeditious,/ˌɛkspɪˈdɪʃəs/,"형 (speedy, prompt) 신속한, 급속한 "
interfere,/ˌɪntəˈfɪə/,"동(자) (be obstacle) 방해하다, 간섭하다, 상충하다 "
hinder,/ˈhɪndə/,"동(타) (slow physically) (물리적으로) 방해하다, 저지하다 
동(타) (slow progress) (진행을) 지체시키다, 늦게 하다 "
vex,/vɛks/,"동(타) (annoy) 괴롭히다, 짜증나게 하다 "
entice,/ɪnˈtaɪs/,"동(타) (attract) 끌다, 유혹하다 
동(타) (into doing sthg) 부추겨서 시키다 "
immense,/ɪˈmɛns/,"형 (physically huge) 거대한 
형 (very great) 무한한, 한없는 "
imprudent,/ɪmˈpruːdənt/,"형 (not cautious) 조심성 없는, 부주의한, 경솔한, 무모한 "
abstruse,/əbˈstruːs/,"형 (obscure, hard to understand) 애매한, 심오한, 모한, 난해한, 이해하기 어려운 "
endemic,/ɛnˈdɛmɪk/,"형 (locally prevalent) 풍토성의, 지방 특유의 
형 (native) 고유의, 토박이의 "
trait,/treɪt/,"명 (characteristic) 특성, 특질 
명 (of person) (사람의) 인상, 이목구비, 생김새 "
distinct,/dɪˈstɪŋkt/,"형 (different) 다른, 별개의 
형 (perceivable) 구별할 수 있는, 구분할 수 있는 
형 (perceptible) 명확한, 뚜렷한, 분명한 "
ecologist,/ɪˈkɒlədʒɪst/,"명 (conservationist, environmentalist) 생태학자 "
niche,/nɪtʃ/,"명 (indent in wall) 벽감 
명 figurative (small market segment) (비유적 표현) 시장 틈새 
명 (area of comfort) 적합한 장소 "
voracious,/vɒˈreɪʃəs/,"형 (greedy, insatiable) 게걸스러운, 탐욕스러운, 물릴 줄을 모르는 
형 figurative (wildly keen) (비유적) 열성이 대단한, 골몰하는, 집착하는 "
hefty,/ˈhɛftɪ/,"형 (object: heavy) 무거운, 육중한 
형 (amount: large) 많은, 풍부한 "
jaw,/dʒɔː/,"명 (face around jawbone) 입, 턱 주위 
명 (bone) 턱 
명(복) (jaw-like opening) 턱 모양의 입구 
동(자) US, slang (talk continuously) 지껄이다, 수다떨다 "
apparatus,/ˌæpəˈreɪtəs/,"명 (equipment) 장치, 기구 
명 (system) 기구, 조직 
명 (anatomy: body parts) (해부학) 기관 "
feed,/fiːd/,"동(타) (give food to) 먹이다, 먹이를 주다 "
morph,/mɔːf/,"동(자) (transform) 변형하다, 바꾸다 "
myraid,,
ritual,/ˈrɪtjʊəl/,"명 (ceremony, procedure) 의식 
명 (customary practice) 의식적인 행사 
명  예의, 풍습 
형 (relating to rituals) 의식의 "
overlook,/ˌəʊvəˈlʊk/,"동(타) (not notice) 간과하다 
동(타) (not realize importance) 못보고 넘어가다 
동(타) (ignore) 무시하다, 눈감아주다 
명 (place with good view) 전망이 좋은 곳 "
intrigue,/ɪnˈtriːɡ/,"명 (plot, scheming) 음모 
동(타) (fascinate, interest) 흥미를 유발하다 
동(타)  성취하다, 손에 넣다 
명 (fiction: plot) (소설 등) 줄거리 "
rendering,/ˈrendərɪŋ/,"명 (depiction) 묘사, 표현 
명 (a translation) 번역 "
archetype,/ˈɑːkɪˌtaɪp/,"명 (original model) 원형 
명 (epitome, example) 전형, 본보기 "
gauze,/ɡɔːz/,"명 (as bandage) (붕대로 쓰는) 얇은 천, 거즈 
명 (fabric) (무명, 비단 등) 직물 "
